=== CFS input values ===
num_process = 10
sched_latency = 48
min_granularity = 3
burst_time = [30,30,30,30,30,30,30,30,30,30]
nice_value = [0,0,0,0,0,0,0,0,0,0]
P3	1024	26	4
P4	1024	26	4
P5	1024	26	4
P6	1024	26	4
P7	1024	26	4
P8	1024	26	4
P9	1024	26	4
=== Step 12 ===
Process	Weight	Remain	Slice
P0	1024	22	4
P1	1024	22	4
P2	1024	26	4
P3	1024	26	4
P4	1024	26	4
P5	1024	26	4
P6	1024	26	4
P7	1024	26	4
P8	1024	26	4
P9	1024	26	4
=== Step 13 ===
Process	Weight	Remain	Slice
P0	1024	22	4
P1	1024	22	4
P2	1024	22	4
P3	1024	26	4
P4	1024	26	4
P5	1024	26	4
P6	1024	26	4
P7	1024	26	4
P8	1024	26	4
P9	1024	26	4
=== Step 14 ===
Process	Weight	Remain	Slice
P0	1024	22	4
P1	1024	22	4
P2	1024	22	4
P3	1024	22	4
P4	1024	26	4
P5	1024	26	4
P6	1024	26	4
P7	1024	26	4
P8	1024	26	4
P9	1024	26	4
=== Step 15 ===
Process	Weight	Remain	Slice
P0	1024	22	4
P1	1024	22	4
P2	1024	22	4
P3	1024	22	4
P4	1024	22	4
P5	1024	26	4
P6	1024	26	4
P7	1024	26	4
P8	1024	26	4
P9	1024	26	4
=== Step 16 ===
Process	Weight	Remain	Slice
P0	1024	22	4
P1	1024	22	4
P2	1024	22	4
P3	1024	22	4
P4	1024	22	4
P5	1024	22	4
P6	1024	26	4
P7	1024	26	4
P8	1024	26	4
P9	1024	26	4
=== Step 17 ===
Process	Weight	Remain	Slice
P0	1024	22	4
P1	1024	22	4
P2	1024	22	4
P3	1024	22	4
P4	1024	22	4
P5	1024	22	4
P6	1024	22	4
P7	1024	26	4
P8	1024	26	4
P9	1024	26	4
=== Step 18 ===
Process	Weight	Remain	Slice
P0	1024	22	4
P1	1024	22	4
P2	1024	22	4
P3	1024	22	4
P4	1024	22	4
P5	1024	22	4
P6	1024	22	4
P7	1024	22	4
P8	1024	26	4
P9	1024	26	4
=== Step 19 ===
Process	Weight	Remain	Slice
P0	1024	22	4
P1	1024	22	4
P2	1024	22	4
P3	1024	22	4
P4	1024	22	4
P5	1024	22	4
P6	1024	22	4
P7	1024	22	4
P8	1024	22	4
P9	1024	26	4
=== Step 20 ===
Process	Weight	Remain	Slice
P0	1024	22	4
P1	1024	22	4
P2	1024	22	4
P3	1024	22	4
P4	1024	22	4
P5	1024	22	4
P6	1024	22	4
P7	1024	22	4
P8	1024	22	4
P9	1024	22	4
=== Step 21 ===
Process	Weight	Remain	Slice
P0	1024	18	4
P1	1024	22	4
P2	1024	22	4
P3	1024	22	4
P4	1024	22	4
P5	1024	22	4
P6	1024	22	4
P7	1024	22	4
P8	1024	22	4
P9	1024	22	4
=== Step 22 ===
Process	Weight	Remain	Slice
P0	1024	18	4
P1	1024	18	4
P2	1024	22	4
P3	1024	22	4
P4	1024	22	4
P5	1024	22	4
P6	1024	22	4
P7	1024	22	4
P8	1024	22	4
P9	1024	22	4
=== Step 23 ===
Process	Weight	Remain	Slice
P0	1024	18	4
P1	1024	18	4
P2	1024	18	4
P3	1024	22	4
P4	1024	22	4
P5	1024	22	4
P6	1024	22	4
P7	1024	22	4
P8	1024	22	4
P9	1024	22	4
=== Step 24 ===
Process	Weight	Remain	Slice
P0	1024	18	4
P1	1024	18	4
P2	1024	18	4
P3	1024	18	4
P4	1024	22	4
P5	1024	22	4
P6	1024	22	4
P7	1024	22	4
P8	1024	22	4
P9	1024	22	4
=== Step 25 ===
Process	Weight	Remain	Slice
P0	1024	18	4
P1	1024	18	4
P2	1024	18	4
P3	1024	18	4
P4	1024	18	4
P5	1024	22	4
P6	1024	22	4
P7	1024	22	4
P8	1024	22	4
P9	1024	22	4
=== Step 26 ===
Process	Weight	Remain	Slice
P0	1024	18	4
P1	1024	18	4
P2	1024	18	4
P3	1024	18	4
P4	1024	18	4
P5	1024	18	4
P6	1024	22	4
P7	1024	22	4
P8	1024	22	4
P9	1024	22	4
=== Step 27 ===
Process	Weight	Remain	Slice
P0	1024	18	4
P1	1024	18	4
P2	1024	18	4
P3	1024	18	4
P4	1024	18	4
P5	1024	18	4
P6	1024	18	4
P7	1024	22	4
P8	1024	22	4
P9	1024	22	4
=== Step 28 ===
Process	Weight	Remain	Slice
P0	1024	18	4
P1	1024	18	4
P2	1024	18	4
P3	1024	18	4
P4	1024	18	4
P5	1024	18	4
P6	1024	18	4
P7	1024	18	4
P8	1024	22	4
P9	1024	22	4
=== Step 29 ===
Process	Weight	Remain	Slice
P0	1024	18	4
P1	1024	18	4
P2	1024	18	4
P3	1024	18	4
P4	1024	18	4
P5	1024	18	4
P6	1024	18	4
P7	1024	18	4
P8	1024	18	4
P9	1024	22	4
=== Step 30 ===
Process	Weight	Remain	Slice
P0	1024	18	4
P1	1024	18	4
P2	1024	18	4
P3	1024	18	4
P4	1024	18	4
P5	1024	18	4
P6	1024	18	4
P7	1024	18	4
P8	1024	18	4
P9	1024	18	4
=== Step 31 ===
Process	Weight	Remain	Slice
P0	1024	14	4
P1	1024	18	4
P2	1024	18	4
P3	1024	18	4
P4	1024	18	4
P5	1024	18	4
P6	1024	18	4
P7	1024	18	4
P8	1024	18	4
P9	1024	18	4
=== Step 32 ===
Process	Weight	Remain	Slice
P0	1024	14	4
P1	1024	14	4
P2	1024	18	4
P3	1024	18	4
P4	1024	18	4
P5	1024	18	4
P6	1024	18	4
P7	1024	18	4
P8	1024	18	4
P9	1024	18	4
=== Step 33 ===
Process	Weight	Remain	Slice
P0	1024	14	4
P1	1024	14	4
P2	1024	14	4
P3	1024	18	4
P4	1024	18	4
P5	1024	18	4
P6	1024	18	4
P7	1024	18	4
P8	1024	18	4
P9	1024	18	4
=== Step 34 ===
Process	Weight	Remain	Slice
P0	1024	14	4
P1	1024	14	4
P2	1024	14	4
P3	1024	14	4
P4	1024	18	4
P5	1024	18	4
P6	1024	18	4
P7	1024	18	4
P8	1024	18	4
P9	1024	18	4
=== Step 35 ===
Process	Weight	Remain	Slice
P0	1024	14	4
P1	1024	14	4
P2	1024	14	4
P3	1024	14	4
P4	1024	14	4
P5	1024	18	4
P6	1024	18	4
P7	1024	18	4
P8	1024	18	4
P9	1024	18	4
=== Step 36 ===
Process	Weight	Remain	Slice
P0	1024	14	4
P1	1024	14	4
P2	1024	14	4
P3	1024	14	4
P4	1024	14	4
P5	1024	14	4
P6	1024	18	4
P7	1024	18	4
P8	1024	18	4
P9	1024	18	4
=== Step 37 ===
Process	Weight	Remain	Slice
P0	1024	14	4
P1	1024	14	4
P2	1024	14	4
P3	1024	14	4
P4	1024	14	4
P5	1024	14	4
P6	1024	14	4
P7	1024	18	4
P8	1024	18	4
P9	1024	18	4
=== Step 38 ===
Process	Weight	Remain	Slice
P0	1024	14	4
P1	1024	14	4
P2	1024	14	4
P3	1024	14	4
P4	1024	14	4
P5	1024	14	4
P6	1024	14	4
P7	1024	14	4
P8	1024	18	4
P9	1024	18	4
=== Step 39 ===
Process	Weight	Remain	Slice
P0	1024	14	4
P1	1024	14	4
P2	1024	14	4
P3	1024	14	4
P4	1024	14	4
P5	1024	14	4
P6	1024	14	4
P7	1024	14	4
P8	1024	14	4
P9	1024	18	4
=== Step 40 ===
Process	Weight	Remain	Slice
P0	1024	14	4
P1	1024	14	4
P2	1024	14	4
P3	1024	14	4
P4	1024	14	4
P5	1024	14	4
P6	1024	14	4
P7	1024	14	4
P8	1024	14	4
P9	1024	14	4
=== Step 41 ===
Process	Weight	Remain	Slice
P0	1024	10	4
P1	1024	14	4
P2	1024	14	4
P3	1024	14	4
P4	1024	14	4
P5	1024	14	4
P6	1024	14	4
P7	1024	14	4
P8	1024	14	4
P9	1024	14	4
=== Step 42 ===
Process	Weight	Remain	Slice
P0	1024	10	4
P1	1024	10	4
P2	1024	14	4
P3	1024	14	4
P4	1024	14	4
P5	1024	14	4
P6	1024	14	4
P7	1024	14	4
P8	1024	14	4
P9	1024	14	4
=== Step 43 ===
Process	Weight	Remain	Slice
P0	1024	10	4
P1	1024	10	4
P2	1024	10	4
P3	1024	14	4
P4	1024	14	4
P5	1024	14	4
P6	1024	14	4
P7	1024	14	4
P8	1024	14	4
P9	1024	14	4
=== Step 44 ===
Process	Weight	Remain	Slice
P0	1024	10	4
P1	1024	10	4
P2	1024	10	4
P3	1024	10	4
P4	1024	14	4
P5	1024	14	4
P6	1024	14	4
P7	1024	14	4
P8	1024	14	4
P9	1024	14	4
=== Step 45 ===
Process	Weight	Remain	Slice
P0	1024	10	4
P1	1024	10	4
P2	1024	10	4
P3	1024	10	4
P4	1024	10	4
P5	1024	14	4
P6	1024	14	4
P7	1024	14	4
P8	1024	14	4
P9	1024	14	4
=== Step 46 ===
Process	Weight	Remain	Slice
P0	1024	10	4
P1	1024	10	4
P2	1024	10	4
P3	1024	10	4
P4	1024	10	4
P5	1024	10	4
P6	1024	14	4
P7	1024	14	4
P8	1024	14	4
P9	1024	14	4
=== Step 47 ===
Process	Weight	Remain	Slice
P0	1024	10	4
P1	1024	10	4
P2	1024	10	4
P3	1024	10	4
P4	1024	10	4
P5	1024	10	4
P6	1024	10	4
P7	1024	14	4
P8	1024	14	4
P9	1024	14	4
=== Step 48 ===
Process	Weight	Remain	Slice
P0	1024	10	4
P1	1024	10	4
P2	1024	10	4
P3	1024	10	4
P4	1024	10	4
P5	1024	10	4
P6	1024	10	4
P7	1024	10	4
P8	1024	14	4
P9	1024	14	4
=== Step 49 ===
Process	Weight	Remain	Slice
P0	1024	10	4
P1	1024	10	4
P2	1024	10	4
P3	1024	10	4
P4	1024	10	4
P5	1024	10	4
P6	1024	10	4
P7	1024	10	4
P8	1024	10	4
P9	1024	14	4
=== Step 50 ===
Process	Weight	Remain	Slice
P0	1024	10	4
P1	1024	10	4
P2	1024	10	4
P3	1024	10	4
P4	1024	10	4
P5	1024	10	4
P6	1024	10	4
P7	1024	10	4
P8	1024	10	4
P9	1024	10	4
=== Step 51 ===
Process	Weight	Remain	Slice
P0	1024	6	4
P1	1024	10	4
P2	1024	10	4
P3	1024	10	4
P4	1024	10	4
P5	1024	10	4
P6	1024	10	4
P7	1024	10	4
P8	1024	10	4
P9	1024	10	4
=== Step 52 ===
Process	Weight	Remain	Slice
P0	1024	6	4
P1	1024	6	4
P2	1024	10	4
P3	1024	10	4
P4	1024	10	4
P5	1024	10	4
P6	1024	10	4
P7	1024	10	4
P8	1024	10	4
P9	1024	10	4
=== Step 53 ===
Process	Weight	Remain	Slice
P0	1024	6	4
P1	1024	6	4
P2	1024	6	4
P3	1024	10	4
P4	1024	10	4
P5	1024	10	4
P6	1024	10	4
P7	1024	10	4
P8	1024	10	4
P9	1024	10	4
=== Step 54 ===
Process	Weight	Remain	Slice
P0	1024	6	4
P1	1024	6	4
P2	1024	6	4
P3	1024	6	4
P4	1024	10	4
P5	1024	10	4
P6	1024	10	4
P7	1024	10	4
P8	1024	10	4
P9	1024	10	4
=== Step 55 ===
Process	Weight	Remain	Slice
P0	1024	6	4
P1	1024	6	4
P2	1024	6	4
P3	1024	6	4
P4	1024	6	4
P5	1024	10	4
P6	1024	10	4
P7	1024	10	4
P8	1024	10	4
P9	1024	10	4
=== Step 56 ===
Process	Weight	Remain	Slice
P0	1024	6	4
P1	1024	6	4
P2	1024	6	4
P3	1024	6	4
P4	1024	6	4
P5	1024	6	4
P6	1024	10	4
P7	1024	10	4
P8	1024	10	4
P9	1024	10	4
=== Step 57 ===
Process	Weight	Remain	Slice
P0	1024	6	4
P1	1024	6	4
P2	1024	6	4
P3	1024	6	4
P4	1024	6	4
P5	1024	6	4
P6	1024	6	4
P7	1024	10	4
P8	1024	10	4
P9	1024	10	4
=== Step 58 ===
Process	Weight	Remain	Slice
P0	1024	6	4
P1	1024	6	4
P2	1024	6	4
P3	1024	6	4
P4	1024	6	4
P5	1024	6	4
P6	1024	6	4
P7	1024	6	4
P8	1024	10	4
P9	1024	10	4
=== Step 59 ===
Process	Weight	Remain	Slice
P0	1024	6	4
P1	1024	6	4
P2	1024	6	4
P3	1024	6	4
P4	1024	6	4
P5	1024	6	4
P6	1024	6	4
P7	1024	6	4
P8	1024	6	4
P9	1024	10	4
=== Step 60 ===
Process	Weight	Remain	Slice
P0	1024	6	4
P1	1024	6	4
P2	1024	6	4
P3	1024	6	4
P4	1024	6	4
P5	1024	6	4
P6	1024	6	4
P7	1024	6	4
P8	1024	6	4
P9	1024	6	4
=== Step 61 ===
Process	Weight	Remain	Slice
P0	1024	2	4
P1	1024	6	4
P2	1024	6	4
P3	1024	6	4
P4	1024	6	4
P5	1024	6	4
P6	1024	6	4
P7	1024	6	4
P8	1024	6	4
P9	1024	6	4
=== Step 62 ===
Process	Weight	Remain	Slice
P0	1024	2	4
P1	1024	2	4
P2	1024	6	4
P3	1024	6	4
P4	1024	6	4
P5	1024	6	4
P6	1024	6	4
P7	1024	6	4
P8	1024	6	4
P9	1024	6	4
=== Step 63 ===
Process	Weight	Remain	Slice
P0	1024	2	4
P1	1024	2	4
P2	1024	2	4
P3	1024	6	4
P4	1024	6	4
P5	1024	6	4
P6	1024	6	4
P7	1024	6	4
P8	1024	6	4
P9	1024	6	4
=== Step 64 ===
Process	Weight	Remain	Slice
P0	1024	2	4
P1	1024	2	4
P2	1024	2	4
P3	1024	2	4
P4	1024	6	4
P5	1024	6	4
P6	1024	6	4
P7	1024	6	4
P8	1024	6	4
P9	1024	6	4
=== Step 65 ===
Process	Weight	Remain	Slice
P0	1024	2	4
P1	1024	2	4
P2	1024	2	4
P3	1024	2	4
P4	1024	2	4
P5	1024	6	4
P6	1024	6	4
P7	1024	6	4
P8	1024	6	4
P9	1024	6	4
=== Step 66 ===
Process	Weight	Remain	Slice
P0	1024	2	4
P1	1024	2	4
P2	1024	2	4
P3	1024	2	4
P4	1024	2	4
P5	1024	2	4
P6	1024	6	4
P7	1024	6	4
P8	1024	6	4
P9	1024	6	4
=== Step 67 ===
Process	Weight	Remain	Slice
P0	1024	2	4
P1	1024	2	4
P2	1024	2	4
P3	1024	2	4
P4	1024	2	4
P5	1024	2	4
P6	1024	2	4
P7	1024	6	4
P8	1024	6	4
P9	1024	6	4
=== Step 68 ===
Process	Weight	Remain	Slice
P0	1024	2	4
P1	1024	2	4
P2	1024	2	4
P3	1024	2	4
P4	1024	2	4
P5	1024	2	4
P6	1024	2	4
P7	1024	2	4
P8	1024	6	4
P9	1024	6	4
=== Step 69 ===
Process	Weight	Remain	Slice
P0	1024	2	4
P1	1024	2	4
P2	1024	2	4
P3	1024	2	4
P4	1024	2	4
P5	1024	2	4
P6	1024	2	4
P7	1024	2	4
P8	1024	2	4
P9	1024	6	4
=== Step 70 ===
Process	Weight	Remain	Slice
P0	1024	2	4
P1	1024	2	4
P2	1024	2	4
P3	1024	2	4
P4	1024	2	4
P5	1024	2	4
P6	1024	2	4
P7	1024	2	4
P8	1024	2	4
P9	1024	2	4
=== Step 71 ===
Process	Weight	Remain	Slice
P0	1024	0	4
P1	1024	2	4
P2	1024	2	4
P3	1024	2	4
P4	1024	2	4
P5	1024	2	4
P6	1024	2	4
P7	1024	2	4
P8	1024	2	4
P9	1024	2	4
=== Step 72 ===
Process	Weight	Remain	Slice
P0	1024	0	4
P1	1024	0	4
P2	1024	2	4
P3	1024	2	4
P4	1024	2	4
P5	1024	2	4
P6	1024	2	4
P7	1024	2	4
P8	1024	2	4
P9	1024	2	4
=== Step 73 ===
Process	Weight	Remain	Slice
P0	1024	0	4
P1	1024	0	4
P2	1024	0	4
P3	1024	2	4
P4	1024	2	4
P5	1024	2	4
P6	1024	2	4
P7	1024	2	4
P8	1024	2	4
P9	1024	2	4
=== Step 74 ===
Process	Weight	Remain	Slice
P0	1024	0	4
P1	1024	0	4
P2	1024	0	4
P3	1024	0	4
P4	1024	2	4
P5	1024	2	4
P6	1024	2	4
P7	1024	2	4
P8	1024	2	4
P9	1024	2	4
=== Step 75 ===
Process	Weight	Remain	Slice
P0	1024	0	4
P1	1024	0	4
P2	1024	0	4
P3	1024	0	4
P4	1024	0	4
P5	1024	2	4
P6	1024	2	4
P7	1024	2	4
P8	1024	2	4
P9	1024	2	4
=== Step 76 ===
Process	Weight	Remain	Slice
P0	1024	0	4
P1	1024	0	4
P2	1024	0	4
P3	1024	0	4
P4	1024	0	4
P5	1024	0	4
P6	1024	2	4
P7	1024	2	4
P8	1024	2	4
P9	1024	2	4
=== Step 77 ===
Process	Weight	Remain	Slice
P0	1024	0	4
P1	1024	0	4
P2	1024	0	4
P3	1024	0	4
P4	1024	0	4
P5	1024	0	4
P6	1024	0	4
P7	1024	2	4
P8	1024	2	4
P9	1024	2	4
=== Step 78 ===
Process	Weight	Remain	Slice
P0	1024	0	4
P1	1024	0	4
P2	1024	0	4
P3	1024	0	4
P4	1024	0	4
P5	1024	0	4
P6	1024	0	4
P7	1024	0	4
P8	1024	2	4
P9	1024	2	4
=== Step 79 ===
Process	Weight	Remain	Slice
P0	1024	0	4
P1	1024	0	4
P2	1024	0	4
P3	1024	0	4
P4	1024	0	4
P5	1024	0	4
P6	1024	0	4
P7	1024	0	4
P8	1024	0	4
P9	1024	2	4
=== Step 80 ===
Process	Weight	Remain	Slice
P0	1024	0	4
P1	1024	0	4
P2	1024	0	4
P3	1024	0	4
P4	1024	0	4
P5	1024	0	4
P6	1024	0	4
P7	1024	0	4
P8	1024	0	4
P9	1024	0	4
=== Gantt chart ===
0 P0 4 P1 8 P2 12 P3 16 P4 20 P5 24 P6 28 P7 32 P8 36 P9 40 P0 44 P1 48 P2 52 P3 56 P4 60 P5 64 P6 68 P7 72 P8 76 P9 80 P0 84 P1 88 P2 92 P3 96 P4 100 P5 104 P6 108 P7 112 P8 116 P9 120 P0 124 P1 128 P2 132 P3 136 P4 140 P5 144 P6 148 P7 152 P8 156 P9 160 P0 164 P1 168 P2 172 P3 176 P4 180 P5 184 P6 188 P7 192 P8 196 P9 200 P0 204 P1 208 P2 212 P3 216 P4 220 P5 224 P6 228 P7 232 P8 236 P9 240 P0 244 P1 248 P2 252 P3 256 P4 260 P5 264 P6 268 P7 272 P8 276 P9 280 P0 282 P1 284 P2 286 P3 288 P4 290 P5 292 P6 294 P7 296 P8 298 P9 300 
