=== CFS input values ===
num_process = 10
sched_latency = 80
min_granularity = 6
burst_time = [30,30,30,30,30,30,30,30,30,30]
nice_value = [0,0,0,0,0,0,0,0,0,0]
P3	1024	22	8
P4	1024	22	8
P5	1024	22	8
P6	1024	22	8
P7	1024	22	8
P8	1024	22	8
P9	1024	22	8
=== Step 12 ===
Process	Weight	Remain	Slice
P0	1024	14	8
P1	1024	14	8
P2	1024	22	8
P3	1024	22	8
P4	1024	22	8
P5	1024	22	8
P6	1024	22	8
P7	1024	22	8
P8	1024	22	8
P9	1024	22	8
=== Step 13 ===
Process	Weight	Remain	Slice
P0	1024	14	8
P1	1024	14	8
P2	1024	14	8
P3	1024	22	8
P4	1024	22	8
P5	1024	22	8
P6	1024	22	8
P7	1024	22	8
P8	1024	22	8
P9	1024	22	8
=== Step 14 ===
Process	Weight	Remain	Slice
P0	1024	14	8
P1	1024	14	8
P2	1024	14	8
P3	1024	14	8
P4	1024	22	8
P5	1024	22	8
P6	1024	22	8
P7	1024	22	8
P8	1024	22	8
P9	1024	22	8
=== Step 15 ===
Process	Weight	Remain	Slice
P0	1024	14	8
P1	1024	14	8
P2	1024	14	8
P3	1024	14	8
P4	1024	14	8
P5	1024	22	8
P6	1024	22	8
P7	1024	22	8
P8	1024	22	8
P9	1024	22	8
=== Step 16 ===
Process	Weight	Remain	Slice
P0	1024	14	8
P1	1024	14	8
P2	1024	14	8
P3	1024	14	8
P4	1024	14	8
P5	1024	14	8
P6	1024	22	8
P7	1024	22	8
P8	1024	22	8
P9	1024	22	8
=== Step 17 ===
Process	Weight	Remain	Slice
P0	1024	14	8
P1	1024	14	8
P2	1024	14	8
P3	1024	14	8
P4	1024	14	8
P5	1024	14	8
P6	1024	14	8
P7	1024	22	8
P8	1024	22	8
P9	1024	22	8
=== Step 18 ===
Process	Weight	Remain	Slice
P0	1024	14	8
P1	1024	14	8
P2	1024	14	8
P3	1024	14	8
P4	1024	14	8
P5	1024	14	8
P6	1024	14	8
P7	1024	14	8
P8	1024	22	8
P9	1024	22	8
=== Step 19 ===
Process	Weight	Remain	Slice
P0	1024	14	8
P1	1024	14	8
P2	1024	14	8
P3	1024	14	8
P4	1024	14	8
P5	1024	14	8
P6	1024	14	8
P7	1024	14	8
P8	1024	14	8
P9	1024	22	8
=== Step 20 ===
Process	Weight	Remain	Slice
P0	1024	14	8
P1	1024	14	8
P2	1024	14	8
P3	1024	14	8
P4	1024	14	8
P5	1024	14	8
P6	1024	14	8
P7	1024	14	8
P8	1024	14	8
P9	1024	14	8
=== Step 21 ===
Process	Weight	Remain	Slice
P0	1024	6	8
P1	1024	14	8
P2	1024	14	8
P3	1024	14	8
P4	1024	14	8
P5	1024	14	8
P6	1024	14	8
P7	1024	14	8
P8	1024	14	8
P9	1024	14	8
=== Step 22 ===
Process	Weight	Remain	Slice
P0	1024	6	8
P1	1024	6	8
P2	1024	14	8
P3	1024	14	8
P4	1024	14	8
P5	1024	14	8
P6	1024	14	8
P7	1024	14	8
P8	1024	14	8
P9	1024	14	8
=== Step 23 ===
Process	Weight	Remain	Slice
P0	1024	6	8
P1	1024	6	8
P2	1024	6	8
P3	1024	14	8
P4	1024	14	8
P5	1024	14	8
P6	1024	14	8
P7	1024	14	8
P8	1024	14	8
P9	1024	14	8
=== Step 24 ===
Process	Weight	Remain	Slice
P0	1024	6	8
P1	1024	6	8
P2	1024	6	8
P3	1024	6	8
P4	1024	14	8
P5	1024	14	8
P6	1024	14	8
P7	1024	14	8
P8	1024	14	8
P9	1024	14	8
=== Step 25 ===
Process	Weight	Remain	Slice
P0	1024	6	8
P1	1024	6	8
P2	1024	6	8
P3	1024	6	8
P4	1024	6	8
P5	1024	14	8
P6	1024	14	8
P7	1024	14	8
P8	1024	14	8
P9	1024	14	8
=== Step 26 ===
Process	Weight	Remain	Slice
P0	1024	6	8
P1	1024	6	8
P2	1024	6	8
P3	1024	6	8
P4	1024	6	8
P5	1024	6	8
P6	1024	14	8
P7	1024	14	8
P8	1024	14	8
P9	1024	14	8
=== Step 27 ===
Process	Weight	Remain	Slice
P0	1024	6	8
P1	1024	6	8
P2	1024	6	8
P3	1024	6	8
P4	1024	6	8
P5	1024	6	8
P6	1024	6	8
P7	1024	14	8
P8	1024	14	8
P9	1024	14	8
=== Step 28 ===
Process	Weight	Remain	Slice
P0	1024	6	8
P1	1024	6	8
P2	1024	6	8
P3	1024	6	8
P4	1024	6	8
P5	1024	6	8
P6	1024	6	8
P7	1024	6	8
P8	1024	14	8
P9	1024	14	8
=== Step 29 ===
Process	Weight	Remain	Slice
P0	1024	6	8
P1	1024	6	8
P2	1024	6	8
P3	1024	6	8
P4	1024	6	8
P5	1024	6	8
P6	1024	6	8
P7	1024	6	8
P8	1024	6	8
P9	1024	14	8
=== Step 30 ===
Process	Weight	Remain	Slice
P0	1024	6	8
P1	1024	6	8
P2	1024	6	8
P3	1024	6	8
P4	1024	6	8
P5	1024	6	8
P6	1024	6	8
P7	1024	6	8
P8	1024	6	8
P9	1024	6	8
=== Step 31 ===
Process	Weight	Remain	Slice
P0	1024	0	8
P1	1024	6	8
P2	1024	6	8
P3	1024	6	8
P4	1024	6	8
P5	1024	6	8
P6	1024	6	8
P7	1024	6	8
P8	1024	6	8
P9	1024	6	8
=== Step 32 ===
Process	Weight	Remain	Slice
P0	1024	0	8
P1	1024	0	8
P2	1024	6	8
P3	1024	6	8
P4	1024	6	8
P5	1024	6	8
P6	1024	6	8
P7	1024	6	8
P8	1024	6	8
P9	1024	6	8
=== Step 33 ===
Process	Weight	Remain	Slice
P0	1024	0	8
P1	1024	0	8
P2	1024	0	8
P3	1024	6	8
P4	1024	6	8
P5	1024	6	8
P6	1024	6	8
P7	1024	6	8
P8	1024	6	8
P9	1024	6	8
=== Step 34 ===
Process	Weight	Remain	Slice
P0	1024	0	8
P1	1024	0	8
P2	1024	0	8
P3	1024	0	8
P4	1024	6	8
P5	1024	6	8
P6	1024	6	8
P7	1024	6	8
P8	1024	6	8
P9	1024	6	8
=== Step 35 ===
Process	Weight	Remain	Slice
P0	1024	0	8
P1	1024	0	8
P2	1024	0	8
P3	1024	0	8
P4	1024	0	8
P5	1024	6	8
P6	1024	6	8
P7	1024	6	8
P8	1024	6	8
P9	1024	6	8
=== Step 36 ===
Process	Weight	Remain	Slice
P0	1024	0	8
P1	1024	0	8
P2	1024	0	8
P3	1024	0	8
P4	1024	0	8
P5	1024	0	8
P6	1024	6	8
P7	1024	6	8
P8	1024	6	8
P9	1024	6	8
=== Step 37 ===
Process	Weight	Remain	Slice
P0	1024	0	8
P1	1024	0	8
P2	1024	0	8
P3	1024	0	8
P4	1024	0	8
P5	1024	0	8
P6	1024	0	8
P7	1024	6	8
P8	1024	6	8
P9	1024	6	8
=== Step 38 ===
Process	Weight	Remain	Slice
P0	1024	0	8
P1	1024	0	8
P2	1024	0	8
P3	1024	0	8
P4	1024	0	8
P5	1024	0	8
P6	1024	0	8
P7	1024	0	8
P8	1024	6	8
P9	1024	6	8
=== Step 39 ===
Process	Weight	Remain	Slice
P0	1024	0	8
P1	1024	0	8
P2	1024	0	8
P3	1024	0	8
P4	1024	0	8
P5	1024	0	8
P6	1024	0	8
P7	1024	0	8
P8	1024	0	8
P9	1024	6	8
=== Step 40 ===
Process	Weight	Remain	Slice
P0	1024	0	8
P1	1024	0	8
P2	1024	0	8
P3	1024	0	8
P4	1024	0	8
P5	1024	0	8
P6	1024	0	8
P7	1024	0	8
P8	1024	0	8
P9	1024	0	8
=== Gantt chart ===
0 P0 8 P1 16 P2 24 P3 32 P4 40 P5 48 P6 56 P7 64 P8 72 P9 80 P0 88 P1 96 P2 104 P3 112 P4 120 P5 128 P6 136 P7 144 P8 152 P9 160 P0 168 P1 176 P2 184 P3 192 P4 200 P5 208 P6 216 P7 224 P8 232 P9 240 P0 246 P1 252 P2 258 P3 264 P4 270 P5 276 P6 282 P7 288 P8 294 P9 300 
